,feature,rank
4372,X62320_at,148
3319,U50136_rna1_at,149
2605,U03057_at,150
2009,M38690_at,151
667,D86967_at,152
1838,M23613_at,153
5898,HG627-HT5097_s_at,154
6307,M57731_s_at,155
6218,M20203_s_at,156
2500,S77356_at,157
6794,HG688-HT688_f_at,158
6984,U04241_at,159
4245,X52966_at,160
2334,M89957_at,161
7029,D32129_f_at,162
6400,M97796_s_at,163
2393,M95678_at,164
5922,M10277_s_at,165
2360,M92934_at,166
1303,L13210_at,167
3486,U60644_at,168
7092,X71345_f_at,169
5796,HG2815-HT2931_at,170
225,D14530_at,171
4135,X13794_rna1_at,172
1929,M31520_at,173
7100,HG658-HT658_f_at,174
6574,U49835_s_at,175
2214,M74719_at,176
1238,L07633_at,177
6701,X97267_rna1_s_at,178
617,D83735_at,179
46,AFFX-HSAC07/X00351_3_at,180
4115,X12447_at,181
3970,U93205_at,182
814,HG1862-HT1897_at,183
3983,U94855_at,184
6966,M15395_at,185
5636,D43682_s_at,186
4839,X95404_at,187
1692,M12759_at,188
6166,M12959_s_at,189
1119,J04615_at,190
3412,U56637_at,191
5542,D00749_s_at,192
2481,S73591_at,193
3055,U32944_at,194
1994,M37033_at,195
3182,U41635_at,196
5682,U19713_s_at,197
6989,U21689_at,198
5798,HG2815-HT4023_s_at,199
2057,M59465_at,200
2290,M84739_at,201
4950,Y07604_at,202
6766,U57341_r_at,203
3001,U29607_at,204
5937,V00599_s_at,205
6313,M38449_s_at,206
4376,X62654_rna1_at,207
1706,M13934_cds2_at,208
4023,X01060_at,209
1828,M22960_at,210
43,AFFX-HUMGAPDH/M33197_3_at,211
1808,M21624_at,212
5074,Z21507_at,213
645,D85429_at,214
745,D87735_at,215
486,D50915_at,216
5080,Z22548_at,217
5687,L33930_s_at,218
2952,U25789_at,219
1126,J04823_rna1_at,220
1871,M26880_at,221
6224,M84371_rna1_s_at,222
4410,X64707_at,223
180,D11086_at,224
1765,M17886_at,225
877,HG2855-HT2995_at,226
2732,U10485_at,227
2545,S82470_at,228
6246,M54915_s_at,229
5251,D29805_at,230
214,D13748_at,231
7095,X00351_f_at,232
1817,M22382_at,233
4027,X02152_at,234
4285,X55954_at,235
1745,M16279_at,236
6040,L09209_s_at,237
4485,X69550_at,238
4460,X67698_at,239
6760,L11672_r_at,240
4168,X15573_at,241
5930,S71043_rna1_s_at,242
4377,X62691_at,243
6731,X89399_s_at,244
2258,M81757_at,245
4091,X06617_at,246
1744,M16038_at,247
2051,M58459_at,248
5561,D13413_rna1_s_at,249
759,D88422_at,250
53,AFFX-HSAC07/X00351_3_st,251
1131,J04988_at,252
260,D16562_at,253
4534,X74262_at,254
1371,L19605_at,255
4162,X15341_at,256
51,AFFX-M27830_M_at,257
5038,Y12670_at,258
6765,U57341_at,259
554,D78134_at,260
6375,M83652_s_at,261
6573,Z49148_s_at,262
4290,X56468_at,263
2028,M55531_at,264
5665,D78577_s_at,265
2757,U12465_at,266
6225,M21142_cds2_s_at,267
2019,M55150_at,268
5118,Z30426_at,269
5939,J02683_s_at,270
2441,S53911_at,271
3247,U46025_at,272
921,HG3494-HT3688_at,273
2093,M60858_rna1_at,274
4488,X69819_at,275
3136,U38846_at,276
411,D42043_at,277
4931,Y00282_at,278
6214,M19508_xpt3_s_at,279
1840,M24194_at,280
6814,HG1980-HT2023_at,281
2908,U20998_at,282
1372,L19686_rna1_at,283
2285,M84332_at,284
5061,Z14982_rna1_at,285
6235,M23323_s_at,286
1959,M33552_at,287
4819,X93920_at,288
5953,Y00339_s_at,289
6270,M33493_s_at,290
6179,M16336_s_at,291
1091,J03909_at,292
4007,V00563_at,293
3331,U50743_at,294
4189,X16706_at,295
4011,V01512_rna1_at,296
5793,M13452_s_at,297
4676,X82200_at,298
6006,M34996_s_at,299
1077,J03473_at,300
4341,X59871_at,301
2304,M86667_at,302
1085,J03779_at,303
4479,X69111_at,304
7127,M71243_f_at,305
5300,L10413_at,306
6377,M83667_rna1_s_at,307
1282,L11329_at,308
5955,J03077_s_at,309
5934,V00594_s_at,310
4009,V00572_at,311
6302,M36284_s_at,312
2591,U02020_at,313
4339,X59834_at,314
6926,X69654_at,315
1368,L19437_at,316
4374,X62535_at,317
6617,U70439_s_at,318
6160,X05855_s_at,319
4081,X05908_at,320
816,HG1872-HT1907_at,321
5101,Z26876_at,322
2247,M80563_at,323
5313,L33075_at,324
5993,X17567_s_at,325
6939,Z30644_at,326
804,HG1614-HT1614_at,327
4513,X71973_at,328
1288,L11566_at,329
1682,M11717_rna1_at,330
6421,S69272_s_at,331
3088,U35048_at,332
4184,X16560_at,333
1206,L05148_at,334
873,HG2788-HT2896_at,335
1369,L19527_at,336
503,D55654_at,337
941,HG384-HT384_at,338
2793,U14603_at,339
2997,U29171_at,340
6854,M31523_at,341
2676,U07802_at,342
3251,U46499_at,343
1896,M29064_at,344
4739,X86691_at,345
5889,HG4535-HT4940_s_at,346
4068,X04828_at,347
1027,HG662-HT662_at,348
238,D14694_at,349
2308,M86752_at,350
4309,X57959_at,351
1399,L21954_at,352
4694,X83218_at,353
4503,X70683_at,354
7072,M60750_f_at,355
5656,D63479_s_at,356
1629,L47738_at,357
4228,X52056_at,358
6746,HG3033-HT3194_r_at,359
5714,X57351_at,360
6513,U26173_s_at,361
1380,L20298_at,362
5299,L08895_at,363
2496,S76617_at,364
1073,J03191_at,365
3846,U82759_at,366
4323,X59350_at,367
4133,X13546_rna1_at,368
4052,X04106_at,369
4209,X51466_at,370
1290,L11669_at,371
1803,M21259_at,372
682,D86983_at,373
6722,AF000424_s_at,374
440,D45248_at,375
6284,U05681_s_at,376
1779,M19645_at,377
3610,U68063_at,378
3683,U73514_at,379
170,D00763_at,380
4437,X66401_cds1_at,381
6775,HG2702-HT2798_r_at,382
1954,M33336_at,383
4074,X05276_at,384
3561,U65932_at,385
1520,L37033_at,386
292,D23673_at,387
1962,M33764_at,388
45,AFFX-HSAC07/X00351_M_at,389
1718,M14200_rna1_at,390
1102,J04101_at,391
1963,M33882_at,392
2728,U10323_at,393
3557,U65581_at,394
4127,X13238_at,395
1952,M33195_at,396
342,D29643_at,397
7101,M94880_f_at,398
3013,U30521_at,399
4482,X69391_at,400
4078,X05409_at,401
1855,M25280_at,402
1833,M23197_at,403
4278,X55668_at,404
871,HG2724-HT2820_at,405
3492,U60975_at,406
4762,X89267_at,407
3324,U50523_at,408
3593,U67171_at,409
1795,M20902_at,410
3068,U33821_at,411
4166,X15414_at,412
6457,U00947_s_at,413
1919,M30894_at,414
2696,U09117_at,415
5847,M13929_s_at,416
252,D15057_at,417
6938,Z30643_at,418
4152,X14850_at,419
6789,HG3597-HT3800_f_at,420
3233,U44839_at,421
3313,U49869_rna1_at,422
281,D21260_at,423
2064,M59830_at,424
4455,X67325_at,425
4362,X61123_at,426
3604,U67963_at,427
106,AC002115_cds1_at,428
6093,L25931_s_at,429
2582,U01212_at,430
6730,S82297_at,431
1722,M14539_at,432
653,D86479_at,433
6585,U66711_rna1_s_at,434
1614,L42379_at,435
6843,M10942_at,436
4682,X82456_at,437
3276,U47931_at,438
156,AJ000480_at,439
2209,M74491_at,440
7117,U11863_at,441
1377,L19871_at,442
3903,U88964_at,443
2407,M96803_at,444
694,D87076_at,445
5949,M29610_s_at,446
6004,M32304_s_at,447
788,HG1078-HT1078_at,448
5592,D26156_s_at,449
3425,U57342_at,450
4398,X63753_at,451
4097,X07109_at,452
1801,M21186_at,453
242,D14812_at,454
6346,M63838_s_at,455
793,HG1112-HT1112_at,456
1550,L38951_at,457
5899,HG627-HT5098_s_at,458
7018,M27749_at,459
4365,X61587_at,460
4601,X78136_at,461
4974,Y08614_at,462
1447,L28010_at,463
1402,L22009_at,464
4498,X70297_at,465
1038,HG907-HT907_at,466
5795,X04654_s_at,467
6711,X90846_s_at,468
49,AFFX-HUMTFRR/M11507_3_at,469
1892,M28826_at,470
2933,U24105_at,471
3235,U44975_at,472
2178,M68864_at,473
517,D63476_at,474
6043,X70940_s_at,475
1173,K03460_at,476
1153,J05614_at,477
1158,K01911_at,478
3360,U52101_at,479
5150,Z48042_at,480
4236,X52541_at,481
4291,X56494_at,482
1335,L14927_at,483
696,D87078_at,484
2347,M91432_at,485
3820,U81556_at,486
5360,M93651_at,487
4545,X74801_at,488
5444,X04526_at,489
1143,J05243_at,490
2289,M84711_at,491
3852,U83246_at,492
853,HG2566-HT4867_at,493
6372,M81695_s_at,494
2362,M93056_at,495
7118,U29175_at,496
773,D89667_at,497
4190,X16707_at,498
634,D84294_at,499
1045,HG987-HT987_at,500
4495,X70070_at,501
2047,M58028_at,502
6644,U90552_s_at,503
5846,HG3523-HT4899_s_at,504
3709,U77396_at,505
6914,X01703_at,506
3652,U71364_at,507
3564,U66048_at,508
6856,M32578_at,509
920,HG3492-HT3686_at,510
1732,M15205_at,511
7035,HG2915-HT3059_f_at,512
1816,M22324_at,513
2013,M54992_at,514
6103,S77893_s_at,515
2755,U12255_at,516
3980,U94592_at,517
2584,U01317_cds6_at,518
4447,X66899_at,519
5578,HG4541-HT4946_s_at,520
3503,U61836_at,521
1063,J02923_at,522
1364,L19267_at,523
3188,U41813_at,524
6838,L13740_at,525
562,D78361_at,526
1245,L08069_at,527
5289,L00058_at,528
6427,S73885_s_at,529
4003,U97105_at,530
166,D00726_at,531
1699,M13450_at,532
4623,X79234_at,533
1571,L40391_at,534
3733,U78521_at,535
4342,X59892_at,536
4581,X76648_at,537
6195,M16750_s_at,538
199,D13627_at,539
2001,M37583_at,540
2139,M63928_at,541
2801,U14973_at,542
1216,L06132_at,543
811,HG1800-HT1823_at,544
6176,M60891_s_at,545
321,D26598_at,546
675,D86976_at,547
6168,M13690_s_at,548
1267,L10373_at,549
4927,Y00062_at,550
4170,X15822_at,551
6749,HG3565-HT3768_r_at,552
7026,U88898_r_at,553
2658,U07132_at,554
2249,M80647_at,555
6461,X73358_s_at,556
6236,Z68228_s_at,557
5941,X05130_s_at,558
4266,X54870_at,559
4593,X77584_at,560
6437,S77154_s_at,561
6157,X62891_s_at,562
1668,M10612_at,563
6825,HG4322-HT4592_at,564
769,D89052_at,565
4231,X52192_at,566
5227,Z84721_cds1_at,567
399,D38548_at,568
1709,M14016_at,569
5279,J02783_at,570
6191,M16652_at,571
2180,M68891_at,572
386,D38128_at,573
5129,Z35227_at,574
5933,V00594_at,575
5265,D86550_at,576
7019,M27749_r_at,577
3306,U49395_at,578
1800,M21154_at,579
6404,M98399_s_at,580
2713,U09578_at,581
5613,X68688_rna1_s_at,582
2127,M63379_at,583
2004,M37766_at,584
3536,U63825_at,585
2158,M64716_at,586
5406,U36341_rna1_at,587
2274,M83221_at,588
41,AFFX-HUMGAPDH/M33197_5_at,589
2391,M95623_cds1_at,590
2140,M63959_at,591
5871,HG4020-HT4290_s_at,592
3011,U30255_at,593
3721,U77948_at,594
6560,U41767_s_at,595
6894,U27460_at,596
331,D28423_at,597
6918,X16546_at,598
4248,X53416_at,599
648,D85758_at,600
4106,X07743_at,601
4753,X87838_at,602
5904,Z68280_cds2_s_at,603
5881,HG417-HT417_s_at,604
670,D86970_at,605
4426,X66079_at,606
1777,M19483_at,607
5283,J04182_at,608
6780,X94563_xpt2_r_at,609
1890,M28713_at,610
3590,U66838_at,611
1287,L11373_at,612
484,D50913_at,613
6104,L32831_s_at,614
6774,HG2566-HT4792_r_at,615
476,D50683_at,616
4531,X74008_at,617
228,D14658_at,618
437,D43950_at,619
385,D38076_at,620
258,D16469_at,621
589,D80006_at,622
5462,X55990_rna1_at,623
5248,D25304_at,624
2055,M58603_at,625
5807,HG2981-HT3127_s_at,626
3162,U40369_rna1_at,627
5883,U09937_rna1_s_at,628
2729,U10324_at,629
3865,U84569_at,630
5932,J00268_s_at,631
5703,HG110-HT110_s_at,632
6615,U69126_s_at,633
4378,X62744_at,634
4509,X71428_at,635
4467,X68277_at,636
6587,U59877_s_at,637
3161,U40343_at,638
1061,J02902_at,639
274,D21063_at,640
168,D00761_at,641
2251,M80899_at,642
5375,U04636_rna1_at,643
1669,M10901_at,644
4090,X06614_at,645
4854,X96719_at,646
2679,U07857_at,647
5086,Z23064_at,648
1118,J04611_at,649
378,D32050_at,650
712,D87442_at,651
3915,U89505_at,652
2132,M63582_at,653
4722,X85372_at,654
367,D31846_at,655
4408,X64594_at,656
4299,X56997_rna1_at,657
4559,X75861_at,658
6273,M30448_s_at,659
5449,X12671_rna1_at,660
3356,U51903_at,661
5253,D38073_at,662
3069,U33822_at,663
1112,J04456_at,664
1109,J04173_at,665
636,D84361_at,666
5988,M61827_rna1_s_at,667
360,D31764_at,668
4155,X14975_at,669
2474,S72008_at,670
5463,X56841_at,671
4095,X06985_at,672
2720,U09813_at,673
5113,Z29505_at,674
1971,M34182_at,675
822,HG2161-HT2231_at,676
3659,U72342_at,677
5547,D10326_s_at,678
4822,X94232_at,679
7051,K03189_f_at,680
3015,U30825_at,681
6777,HG2887-HT3031_r_at,682
2014,M54995_at,683
153,AF015910_at,684
5060,Z14244_at,685
6054,U37055_rna1_s_at,686
5297,L07648_at,687
5962,X51441_s_at,688
3756,U79254_at,689
1194,L02950_at,690
566,D78611_at,691
5713,HG1496-HT1496_s_at,692
7015,Z14978_at,693
3933,U90551_at,694
1379,L20010_at,695
886,HG311-HT311_at,696
1902,M29536_at,697
2800,U14972_at,698
4429,X66171_at,699
5915,HG944-HT944_s_at,700
458,D49817_at,701
1224,L06845_at,702
5184,Z56281_at,703
1640,L76191_at,704
3396,U54778_at,705
6381,X15673_s_at,706
3979,U94586_at,707
2832,U16954_at,708
2783,U14193_at,709
825,HG2190-HT2260_at,710
950,HG3945-HT4215_at,711
5237,AB006782_at,712
4196,X17094_at,713
4510,X71490_at,714
3370,U52427_rna1_at,715
4367,X61970_at,716
6303,M36542_s_at,717
6572,U49020_cds2_s_at,718
6039,S57212_s_at,719
2996,U29091_at,720
5986,J04130_s_at,721
1749,M16424_at,722
1338,L15388_at,723
2719,U09770_at,724
1945,M32334_at,725
4791,X91257_at,726
6534,X82850_s_at,727
5139,Z37986_at,728
7090,X64177_f_at,729
4041,X03100_cds2_at,730
6025,L04483_s_at,731
4651,X80822_at,732
5170,Z49194_at,733
4500,X70394_at,734
384,D38048_at,735
893,HG3162-HT3339_at,736
6282,M65214_s_at,737
2646,U05659_at,738
2667,U07424_at,739
1237,L07597_at,740
2237,M77810_at,741
6792,HG3921-HT4191_f_at,742
5516,AB002356_s_at,743
4796,X91809_at,744
2543,S82198_at,745
622,D83779_at,746
6583,Z54367_s_at,747
588,D80005_at,748
697,D87116_at,749
1281,L11285_at,750
4924,X99920_at,751
6684,X89101_s_at,752
6795,J02982_f_at,753
3740,U78678_at,754
2000,M37435_at,755
2425,M98539_at,756
5979,M96233_s_at,757
537,D63880_at,758
4661,X81420_at,759
4252,X53777_at,760
6314,M55409_s_at,761
731,D87462_at,762
1381,L20316_at,763
1009,HG4582-HT4987_at,764
1170,K03195_at,765
2461,S68616_at,766
4194,X17025_at,767
6773,HG1067-HT1067_r_at,768
6988,U20499_at,769
323,D26600_at,770
5441,X02160_at,771
4653,X80909_at,772
4793,X91504_at,773
47,AFFX-HUMTFRR/M11507_5_at,774
1878,M27819_at,775
3347,U51336_at,776
3876,U85767_at,777
2764,U12779_at,778
6126,U61734_s_at,779
2489,S75174_at,780
6691,Z25521_s_at,781
4471,X68560_at,782
3713,U77604_at,783
4136,X13839_at,784
2186,M69066_at,785
639,D84557_at,786
992,HG4297-HT4567_at,787
3280,U48251_at,788
4643,X80230_at,789
1455,L29277_at,790
1342,L15702_at,791
3772,U79274_at,792
5001,Y10207_at,793
322,D26599_at,794
6622,U72936_s_at,795
1320,L13972_at,796
1921,M31013_at,797
6368,X62083_s_at,798
4620,X79067_at,799
1819,M22489_at,800
1184,L01664_at,801
2090,M60752_at,802
629,D83920_at,803
3200,U43077_at,804
1827,M22919_rna2_at,805
6676,X58431_rna2_s_at,806
1151,J05500_at,807
375,D31891_at,808
4541,X74614_at,809
1349,L16991_at,810
3303,U49278_at,811
6742,HG2239-HT2324_at,812
5598,D28235_s_at,813
5359,M91463_rna1_at,814
2259,M81758_at,815
3340,U51127_at,816
6664,X15729_s_at,817
555,D78151_at,818
1910,M29927_at,819
2749,U11861_at,820
526,D63486_at,821
6547,Z69030_s_at,822
5414,U41654_at,823
6514,U26266_s_at,824
3440,U58087_at,825
1731,M15182_at,826
4061,X04412_at,827
6581,U52696_s_at,828
7036,HG2917-HT3061_f_at,829
5137,Z37166_at,830
4016,X00274_at,831
2388,M95178_at,832
3644,U70867_at,833
3489,U60800_at,834
6666,X16504_s_at,835
4180,X16316_at,836
5734,Z26248_s_at,837
3253,U46570_at,838
1592,L41143_at,839
2756,U12404_at,840
1764,M17885_at,841
190,D13118_at,842
6809,D17793_at,843
3410,U56417_at,844
4283,X55885_at,845
4930,Y00281_at,846
2126,M63262_at,847
1116,J04599_at,848
5277,HG651-HT4201_at,849
295,D25217_at,850
1657,L77701_at,851
3350,U51478_at,852
1449,L28821_at,853
2640,U05237_at,854
3538,U64105_at,855
2690,U08438_at,856
6495,X84213_s_at,857
160,D00017_at,858
955,HG3987-HT4257_at,859
1008,HG4542-HT4947_at,860
4871,X97324_at,861
5057,Z12962_at,862
290,D23660_at,863
7022,M34516_r_at,864
911,HG3364-HT3541_at,865
3735,U78525_at,866
3690,U73843_at,867
798,HG1155-HT4822_at,868
339,D29013_at,869
7000,X07730_at,870
499,D50930_at,871
489,D50918_at,872
2533,S81439_at,873
2574,U00968_at,874
5624,X62153_s_at,875
6102,M96995_s_at,876
3354,U51678_at,877
172,D10495_at,878
5021,Y10871_at,879
2647,U05875_at,880
395,D38521_at,881
3819,U81554_at,882
2377,M94167_at,883
6709,Z69043_s_at,884
6260,S72493_s_at,885
6304,X13810_s_at,886
6624,U73477_s_at,887
5959,J03263_s_at,888
3077,U34252_at,889
1333,L14856_at,890
2050,M58378_cds1_at,891
4585,X77094_at,892
363,D31767_at,893
6046,L10615_s_at,894
1519,L36983_at,895
6280,M31211_s_at,896
6140,Y08765_s_at,897
3931,U90549_at,898
5816,L07807_s_at,899
2255,M81601_at,900
3037,U31814_at,901
508,D61380_at,902
925,HG3514-HT3708_at,903
2644,U05340_at,904
6357,X63131_s_at,905
4489,X69838_at,906
3192,U42031_at,907
383,D38047_at,908
6267,Z47055_s_at,909
2032,M55621_at,910
2049,M58297_at,911
6011,K02777_s_at,912
2099,M61764_at,913
5483,X78338_at,914
48,AFFX-HUMTFRR/M11507_M_at,915
2300,M86406_at,916
4918,X99688_at,917
5797,HG2815-HT2931_s_at,918
4644,X80343_at,919
5244,D16480_at,920
3291,U48936_at,921
1738,M15796_at,922
3170,U40490_at,923
402,D38551_at,924
3640,U70671_at,925
657,D86956_at,926
3148,U39412_at,927
6536,U67092_s_at,928
859,HG2662-HT2758_at,929
3665,U72515_at,930
6837,L08010_at,931
3616,U68485_at,932
4557,X75593_at,933
6724,U46006_s_at,934
3461,U59321_at,935
3128,U37690_at,936
3048,U32576_rna1_at,937
1727,M14676_at,938
4239,X52730_rna1_at,939
207,D13639_at,940
3167,U40391_rna1_at,941
3385,U53225_at,942
6127,U43185_s_at,943
71,AB000468_at,944
3039,U31930_at,945
2980,U28131_at,946
5363,M96843_at,947
6934,X99133_at,948
122,AF000560_at,949
4652,X80907_at,950
3107,U36922_at,951
1295,L12392_at,952
2294,M85169_at,953
3930,U90547_at,954
2385,M94856_at,955
6656,X12530_s_at,956
724,D87454_at,957
3110,U37122_at,958
374,D31890_at,959
1252,L08666_at,960
504,D55696_at,961
4540,X74570_at,962
5051,Z11697_at,963
6611,U68105_s_at,964
4481,X69150_at,965
320,D26579_at,966
4172,X15880_at,967
462,D50063_at,968
969,HG4068-HT4338_at,969
2122,M63167_at,970
3662,U72511_at,971
5663,Y10807_s_at,972
3639,U70663_at,973
2736,U10686_at,974
4140,X13973_at,975
3637,U70451_at,976
3853,U83303_cds2_at,977
2528,S81003_at,978
6561,X96506_s_at,979
4449,X66945_at,980
2222,M76378_at,981
2323,M88108_at,982
452,D49489_at,983
1920,M30938_at,984
5095,Z25749_rna1_at,985
1103,J04102_at,986
1861,M25809_at,987
1602,L41816_at,988
3632,U70321_at,989
2726,U09953_at,990
1089,J03827_at,991
1218,L06147_at,992
5633,S78771_s_at,993
705,D87433_at,994
1826,M22898_at,995
2816,U15555_at,996
5971,X57579_s_at,997
2275,M83233_at,998
3146,U39318_at,999
6598,U79261_s_at,1000
3691,U73960_at,1001
2078,M60299_at,1002
4249,X53586_rna1_at,1003
620,D83777_at,1004
3831,U82275_at,1005
734,D87465_at,1006
1326,L14565_at,1007
1196,L03532_at,1008
1770,M18728_at,1009
5983,J04029_s_at,1010
1588,L40933_at,1011
2241,M80254_at,1012
2510,S78187_at,1013
3850,U83115_at,1014
6965,L37112_at,1015
6087,M27394_s_at,1016
4178,X16135_at,1017
6811,D49728_at,1018
3518,U62801_at,1019
5635,Z84497_s_at,1020
5505,Z74615_at,1021
628,D83785_at,1022
1965,M34041_at,1023
397,D38524_at,1024
595,D80012_at,1025
3991,U96094_at,1026
815,HG1869-HT1904_at,1027
5194,Z70220_at,1028
6738,HG2147-HT2217_at,1029
6351,Z26491_s_at,1030
6088,M60974_s_at,1031
2600,U02619_at,1032
611,D83542_at,1033
4747,X87212_at,1034
4270,X54938_at,1035
5327,M14745_at,1036
4233,X52425_at,1037
1667,M10058_at,1038
3689,U73824_at,1039
441,D45370_at,1040
1845,M24400_at,1041
3925,U90313_at,1042
5996,J04617_s_at,1043
4779,X90858_at,1044
3384,U53209_at,1045
2479,S73149_at,1046
6086,L23333_s_at,1047
369,D31884_at,1048
4711,X84373_at,1049
5032,Y11710_rna1_at,1050
5568,HG1400-HT1400_s_at,1051
162,D00596_at,1052
5577,Z49835_s_at,1053
5536,M23178_s_at,1054
2866,U18548_at,1055
1421,L25081_at,1056
200,D13628_at,1057
4886,X98260_at,1058
327,D28137_at,1059
4893,X98411_at,1060
1011,HG4638-HT5050_at,1061
1276,L10838_at,1062
227,D14657_at,1063
5499,Y09445_at,1064
2195,M73547_at,1065
4242,X52882_at,1066
2017,M55067_at,1067
2262,M81780_cds5_at,1068
4306,X57522_at,1069
2660,U07158_at,1070
453,D49490_at,1071
2792,U14588_at,1072
2725,U09877_at,1073
1527,L37368_at,1074
1850,M24899_at,1075
2390,M95610_at,1076
3113,U37219_at,1077
5599,D28473_s_at,1078
6667,X16660_cds1_s_at,1079
4780,X90872_at,1080
3777,U79285_at,1081
2668,U07550_at,1082
5832,U05572_s_at,1083
1933,M31642_at,1084
3168,U40434_at,1085
2146,M64108_at,1086
195,D13370_at,1087
5954,U50327_s_at,1088
1834,M23254_at,1089
4116,X12451_at,1090
1313,L13720_at,1091
4158,X15187_at,1092
4938,Y00636_at,1093
2998,U29195_at,1094
514,D63391_at,1095
7077,U10689_f_at,1096
5470,X65463_at,1097
3938,U90904_at,1098
3272,U47742_at,1099
7056,L02326_f_at,1100
6268,M29932_s_at,1101
1780,M19684_at,1102
3810,U80457_at,1103
3899,U88667_at,1104
4304,X57346_at,1105
5361,M94046_at,1106
1082,J03600_at,1107
1534,L38487_at,1108
4165,X15393_rna1_at,1109
1013,HG4662-HT5075_at,1110
2738,U10868_at,1111
650,D85939_at,1112
3620,U68566_at,1113
3474,U60115_at,1114
5421,U53204_at,1115
6970,M24069_at,1116
3236,U45285_at,1117
5058,Z14000_at,1118
3090,U35113_at,1119
1940,M31994_at,1120
3726,U78027_rna3_at,1121
6621,Y09943_s_at,1122
5924,X01038_rna1_s_at,1123
2854,U18062_at,1124
5666,D79984_s_at,1125
1841,M24248_at,1126
4941,Y00764_at,1127
3152,U39576_at,1128
1603,L41870_at,1129
6425,S72503_s_at,1130
